data_id,price,brand,category,product_name,units,quantity,unit_type,store_name,image_url,start_date,end_date,public_urls,translated_product,translated_category,tinder_bio
10888638,25.0,,Husholdningsartikler,Støvsugerposer,1,3,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_19_2494x4614_4728x6811_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229411/2025-12-20/10888638.jpg,Vacuum cleaners bags,Household articles,✨ Vacuum cleaner bag superhero who sweeps away clutter and keeps things tidy! ✨
10888608,69.0,Lime,Sodavand,Cola 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_2472x3918_4863x6908_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229411/2025-12-20/10888608.jpg,Cola 24 pk.,Soda water,"Sip, savor, and never forget—cola is life. 🍹"
10888606,69.0,Faxe Kondi,Sodavand,Sportssodavand 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_2472x3918_4863x6908_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229412/2025-12-20/10888606.jpg,Sports soda 24 pk.,Soda water,"Sip, sprint, and smile—sports soda keeps you fueled! 🍹"
10888609,69.0,Pepsi Max,Sodavand,Cola 24 pk.,24,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_2472x3918_4863x6908_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229412/2025-12-20/10888609.jpg,Cola 24 pk.,Soda water,"Sip, savor, and never forget—Cola 24 pk. 🍹"
10888709,10.0,Tørst,Saft,Hyldeblomstdrik,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_22x922_2575x3815_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229413/2025-12-20/10888709.jpg,Golden flower potion,Of a cylinder capacity exceeding 2500 cm3 but not exceeding 2500 cm3,"🌼 Golden flower potion – nature's glowing elixir, perfect for boosting your mood and sparkling up your day! 🌟"
10888592,10.0,Tørst,Iste & Iskaffe,Ice Tea Fersken,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_22x922_2575x3815_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229415/2025-12-20/10888592.jpg,Ice Tea Peaches,Iste & Ice Coffee,"Sip, savor, and smile—ice tea peaches, ready to melt your day. 🍑"
10888710,10.0,Tørst,Saft,Rabarberdrik,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_22x922_2575x3815_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229415/2025-12-20/10888710.jpg,Rhubarb drink,Of a cylinder capacity exceeding 2500 cm3 but not exceeding 2500 cm3,"Rhubarb drink: Sip, sip, and never stop smiling — because life's too short for boring drinks. 🍹"
10888282,5.95,Karolines,Madlavning friskvarer,Piskefløde 36%,1,0,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_2_2521x522_4944x4409_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229416/2025-12-20/10888282.jpg,Whip cream 36%,Cooking fresh goods,"Smooth, creamy, and ready to conquer any dessert — just like you! 🍦"
10888602,79.0,Classic,Øl,Øl 20 pk.,20,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_32x4431_2526x6941_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229416/2025-12-20/10888602.jpg,Beer 20 pc.,Beer,"Sip, shout, and share—beer is life! 🍻"
10888605,79.0,Pilsner,Øl,Øl 20 pk.,20,0,ds.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_32x4431_2526x6941_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229417/2025-12-20/10888605.jpg,Beer 20 pc.,Beer,"""Beer 20 pc. 🍻"""
10888297,6.0,Samsø,Grønt,Rødløg,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_3_1106x4868_4933x6925_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229417/2025-12-20/10888297.jpg,red onions,Green,"Red onions: the silent hero of any salad, slicing through the chaos with a perfect, fiery twist. 🍅"
10888503,12.0,Cheasy,Syrnet morgenmad,Jordbær & Rababer Yoghurt ,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_43x4895_2915x6892_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229417/2025-12-20/10888503.jpg,Strawberries & Rababer Yogurt,Sourned breakfast,"Savoring sweet moments with a sprinkle of joy, 🍓✨"
10888505,12.0,Cheasy,Syrnet morgenmad,Vanilje Yoghurt ,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_43x4895_2915x6892_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229418/2025-12-20/10888505.jpg,Vanilla Yogurt,Sourned breakfast,"✨ Sweet, creamy, and slightly sour – the perfect companion to any mood. 🍯"
10888506,12.0,Cheasy,Syrnet morgenmad,Skovbær Yoghurt ,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_43x4895_2915x6892_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229418/2025-12-20/10888506.jpg,Blackberries Yogurt,Sourned breakfast,Savor the sweetest mix of blackberries and yogurt—nature's perfect pairing. 🍓 YOGURT
10888507,12.0,Cheasy,Syrnet morgenmad,Citron Yoghurt,1,1,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_43x4895_2915x6892_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229419/2025-12-20/10888507.jpg,Lemon Yogurt,Sourned breakfast,"Tropical twist on a classic: Lemon Yogurt, sweet and zesty, bringing a smile to any kitchen. 🍋"
10888378,6.0,Harvest Best,Grønt,Kartofler,1,0,gl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_8_130x3756_2089x6903_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229419/2025-12-20/10888378.jpg,Potatoes,Green,"I'm a humble potato, always ready to sprout and shine! 🌱"
10888570,8.0,Fynbo,Dessertsaucer,Kirsebærsauce,1,0,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_15_2715x922_4901x3653_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229419/2025-12-20/10888570.jpg,Cherry sauce,Dessert sauces,"Sweet, tangy, and slightly messy — the cherry sauce that makes every bite a little more exciting. 🍑"
10888374,12.0,Samsø Syltefabrik,Grønt-syltet,Rødkål-syltet,1,0,gl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_8_22x155_2175x3745_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229420/2025-12-20/10888374.jpg,Red cabbage pickled,Green pickled,"Red cabbage pickled: fiery, tangy, and ready to spark a conversation. 🍃"
10888289,8.95,Velsmag,Grisekød,Flæskesteg,1,0,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_2_70x4328_2499x6871_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229420/2025-12-20/10888289.jpg,Pork roast,Pig meat,"🔥Sizzling, smoky, and ready to conquer your taste buds! 🥩"
10888707,10.0,Tørst,Saft,Solbær Drik,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_22x922_2575x3815_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229421/2025-12-20/10888707.jpg,Blackcurrant Drink,Of a cylinder capacity exceeding 2500 cm3 but not exceeding 2500 cm3,"✨ Sip on the sweetest joy, one blackcurrant twist at a time. 🍓"
10888410,16.0,Signaturbrød Restaurant Gillelejehavn,Rugbrød i Skiver,Rugbrødsskiver,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_12_0x225_2515x3804_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229421/2025-12-20/10888410.jpg,Rye bread slices,Rye bread in Skiver,"Crumbly delight, perfect for a morning coffee or a midnight snack — just add some life. 🍞"
10888414,16.0,Signaturbrød Bryghuset Møn,Rugbrød i Skiver,Rugbrødsskiver,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_12_0x225_2515x3804_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229422/2025-12-20/10888414.jpg,Rye bread slices,Rye bread in Skiver,"Toast-worthy rebellion, served with a side of chaos. 🍞"
10888413,16.0,Signaturbrød Fanøbrød,Rugbrød i Skiver,Rugbrødsskiver,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_12_0x225_2515x3804_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229422/2025-12-20/10888413.jpg,Rye bread slices,Rye bread in Skiver,"Toast-worthy chaos, served with a side of existential dread. 🍞"
10888355,10.0,Velsmag,Grisekød,Medister,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_6_70x236_4901x5321_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229423/2025-12-20/10888355.jpg,Medists,Pig meat,✨ Medist who turns mundane into magic with a sprinkle of whimsy and a dash of chaos! ✨
10888382,15.0,Bådsmand,Sild,Sild,1,0,gl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_9_22x4015_2450x6908_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229423/2025-12-20/10888382.jpg,Herring,Herring,"Sashimi master, sushi enthusiast, and salty adventure seeker 🍣"
10888486,12.0,Hatting,Dybfrost Brød,Græskarkerneboller,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_59x2763_3012x4879_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229424/2025-12-20/10888486.jpg,Pumpkin balls,Deep-frozen bread,"Savoring sweet, spicy, and savory adventures with a side of yumminess 🍂"
10888490,12.0,Hatting,Dybfrost Brød,Manitobaboller,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_59x2763_3012x4879_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229424/2025-12-20/10888490.jpg,Manitoba balls,Deep-frozen bread,"✨ Sweet, chewy Manitoba balls that melt in your mouth and make your day just a little sweeter! ✨"
10888488,12.0,Hatting,Dybfrost Brød,Surdejsboller,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_59x2763_3012x4879_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229424/2025-12-20/10888488.jpg,Surdies,Deep-frozen bread,"✨ One-liner: ""I'm the ultimate keeper of secrets, always keeping things just out of reach. 🧾"""
10888489,12.0,Hatting,Dybfrost Brød,Møllehjul,1,0,ps.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_59x2763_3012x4879_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229425/2025-12-20/10888489.jpg,Mill wheels,Deep-frozen bread,Turns any kitchen into a wonderland—just a few turns needed. 🌟
10888599,22.0,Blonde,Specialøl,Specialøl,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_2515x754_4901x3902_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229425/2025-12-20/10888599.jpg,Special beer,Special beer,"Sip, sip, and savor—special beer is here to brew your day! 🍻"
10888596,22.0,Brune,Specialøl,Specialøl,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_2515x754_4901x3902_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229426/2025-12-20/10888596.jpg,Special beer,Special beer,"✨ Brewed for the bold, poured for the thrill."
10888600,22.0,Hoegaarden,Specialøl,Specialøl,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_17_2515x754_4901x3902_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229426/2025-12-20/10888600.jpg,Special beer,Special beer,"🍺✨ One drink, one laugh, one unforgettable night."
10888497,25.0,Valsølille,Juice,Jordbær Lime Juice,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229427/2025-12-20/10888497.jpg,Strawberries Lime Juice,Juice,"Sip, scream, and sprinkle—strawberries lime juice is the flavor of summer! 🍓🍋"
10888500,25.0,Valsølille,Juice,Vitamin Smoothie,1,0,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229427/2025-12-20/10888500.jpg,Vitamin Smoothie,Juice,✨ Boost your energy with a daily dose of vitamin-powered bliss! ✨
10888495,25.0,Valsølille,Juice,Appelsinjuice uden frugtkød,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229428/2025-12-20/10888495.jpg,Orange juice without pulp,Juice,"Citrusy refreshment with a twist — orange juice, pure and crisp, just for you. 🍊"
10888499,25.0,Valsølille,Saft,Fokus Smoothie,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229428/2025-12-20/10888499.jpg,Focus Smoothie,Of a cylinder capacity exceeding 2500 cm3 but not exceeding 2500 cm3,✨ Boost your focus with a smoothie that keeps you energized and sharp! ✨
10888501,25.0,Valsølille,Juice,"Æble, Kanel, Vanilije og Kardemomme Juice",1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229429/2025-12-20/10888501.jpg,"Apple, Cinnamon, Vanilla and Cardamom Juice",Juice,"Sweet, spiced, and zesty — a juice that brings warmth and flavor to every bite! 🍎✨"
10888492,25.0,Valsølille,Juice,Appelsinjuice,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229429/2025-12-20/10888492.jpg,Orange juice,Juice,"Citrus-powered energy, poured into your glass—refreshing, invigorating, and always just right. 🍋"
10888496,25.0,Valsølille,Saft,Citrolicious Lemonade,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229430/2025-12-20/10888496.jpg,Citrolicious Lemonade,Of a cylinder capacity exceeding 2500 cm3 but not exceeding 2500 cm3,"Citrolicious Lemonade: Sip, smile, and refresh your day with a tangy twist! 🍋"
10888498,25.0,Valsølille,Saft,Dragtastisk Lemonade,1,0,fl.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_13_2688x695_4922x4047_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229430/2025-12-20/10888498.jpg,Dragtastic Lemonade,Of a cylinder capacity exceeding 2500 cm3 but not exceeding 2500 cm3,"✨ Lemonade that makes your day brighter, with a twist of adventure and a splash of joy!"
10888371,99.0,Bistronne,Fjerkræ,And,1,3,stk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_7_65x3912_3060x6946_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229431/2025-12-20/10888371.jpg,Duck,Poultry,"I'm a duck who loves to splash and swim in the puddles, but I'm also great at cooking—especially when it comes to duck confit! 🐦🍲"
10888356,10.0,Velsmag,Grisekød,Hakket grisekød 8-12%,1,0,bk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_6_70x236_4901x5321_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229431/2025-12-20/10888356.jpg,Minced pig meat 8-12 per cent,Pig meat,"✨ Snip-snappin' pork magic, ready to turn your meals into a flavor explosion! ✨"
10888272,7.5,Kærgården,Fedtstoffer,Smørbar,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_59x1267_2931x2784_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229432/2025-12-20/10888272.jpg,Butterable,Fats,"Savory, creamy, and perfectly sticky — butterable, ready to melt into any moment. 🧀"
10888388,15.0,Navito,Fisk,Fiskefileter,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_10_38x4107_2515x6941_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229432/2025-12-20/10888388.jpg,Fish fillets,Fish,Sashimi master | Catching waves with a pinch of flavor 🍣
10888276,7.5,Kærgården,Fedtstoffer,Smørbar Let,1,0,bg.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_1_59x1267_2931x2784_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229433/2025-12-20/10888276.jpg,Spreadable Light,Fats,"✨ Spreadable Light that melts into your heart, perfect for any mood. ✨"
10888718,119.0,,Australske vine,Australsk Rødvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_18_2121x3815_4928x6979_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229433/2025-12-20/10888718.jpg,Australian Red Wine,Australian wines,"Ripred wine, bold and bold, with a twist of terroir — perfect for a night out. 🍷"
10888623,119.0,,Spanske vine,Spansk Rødvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_18_2121x3815_4928x6979_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229434/2025-12-20/10888623.jpg,Spanish Red Wine,Spanish wines,"Sip, savor, and let the taste tell your story — 🍷"
10888724,119.0,,Australske vine,Australsk Hvidvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_18_2121x3815_4928x6979_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229434/2025-12-20/10888724.jpg,Australian White wine,Australian wines,"Sip, savor, and smile—Australia's white wine is the perfect companion to any good time. 🍷"
10888717,119.0,,Spanske vine,Spansk Hvidvin,1,3,krt.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_18_2121x3815_4928x6979_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229435/2025-12-20/10888717.jpg,Spanish White wine,Spanish wines,"Sip, savor, and let the flavors dance—Spanish White wine, ready to elevate any moment. 🍷"
10888391,16.0,Grovhakket,Postej og Paté,Leverpostej,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_11_1738x74_4971x3907_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229435/2025-12-20/10888391.jpg,Liver pie,Farewell and Paté,"Craving a savory, smoky delight that's both hearty and satisfying? I'm liver pie. 🍽️"
10888399,16.0,Julepostej,Postej og Paté,Leverpostej,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_11_1738x74_4971x3907_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229436/2025-12-20/10888399.jpg,Liver pie,Farewell and Paté,"Craving a hearty, savory treat that's as bold as a liver pie? 🍲"
10888398,16.0,Fransk Postej,Postej og Paté,Leverpostej,1,0,pk.,Netto,https://static.tilbudsugen.dk/1st-retail/2025/51/64237/Netto522025-1_11_1738x74_4971x3907_zoom.jpg,2025-12-20,2025-12-23,https://res.cloudinary.com/dfqzmnlga/image/upload/v1766229436/2025-12-20/10888398.jpg,Liver pie,Farewell and Paté,"Craving a savory, spicy treat that satisfies both taste and appetite? I'm the liver pie — your secret weapon for a bold, hearty meal. 🍽️"
